time_s,freq_hz
0.000000000000000000e+00,0.000000000000000000e+00
2.811791383219955018e-03,0.000000000000000000e+00
5.623582766439908301e-03,0.000000000000000000e+00
8.435374149659865053e-03,0.000000000000000000e+00
1.124716553287981834e-02,0.000000000000000000e+00
1.405895691609977162e-02,0.000000000000000000e+00
1.687074829931972664e-02,0.000000000000000000e+00
1.968253968253968339e-02,0.000000000000000000e+00
2.249433106575963320e-02,0.000000000000000000e+00
2.530612244897958996e-02,0.000000000000000000e+00
2.811791383219954671e-02,0.000000000000000000e+00
3.092970521541949652e-02,0.000000000000000000e+00
3.374149659863945327e-02,0.000000000000000000e+00
3.655328798185941003e-02,2.540917968750000000e+03
3.936507936507935984e-02,2.067187500000000000e+03
4.217687074829931659e-02,6.890625000000000000e+02
4.498866213151927335e-02,6.459960937500000000e+02
4.780045351473923010e-02,6.459960937500000000e+02
5.061224489795917991e-02,6.029296875000000000e+02
5.342403628117912973e-02,6.029296875000000000e+02
5.623582766439909342e-02,8.613281250000000000e+01
5.904761904761904323e-02,1.291992187500000000e+02
6.185941043083900692e-02,1.291992187500000000e+02
6.467120181405895674e-02,1.291992187500000000e+02
6.748299319727890655e-02,1.722656250000000000e+02
7.029478458049887024e-02,1.722656250000000000e+02
7.310657596371882005e-02,1.722656250000000000e+02
7.591836734693876987e-02,2.153320312500000000e+02
7.873015873015873356e-02,1.291992187500000000e+02
8.154195011337868337e-02,1.291992187500000000e+02
8.435374149659863319e-02,1.291992187500000000e+02
8.716553287981859688e-02,1.291992187500000000e+02
8.997732426303854669e-02,1.722656250000000000e+02
9.278911564625849651e-02,1.894921875000000000e+03
9.560090702947846020e-02,1.851855468750000000e+03
9.841269841269841001e-02,1.765722656250000000e+03
1.012244897959183598e-01,1.765722656250000000e+03
1.040362811791383235e-01,1.765722656250000000e+03
1.068480725623582733e-01,1.765722656250000000e+03
1.096598639455782231e-01,1.765722656250000000e+03
1.124716553287981868e-01,1.765722656250000000e+03
1.152834467120181366e-01,1.808789062500000000e+03
1.180952380952381003e-01,3.014648437500000000e+02
1.209070294784580363e-01,1.765722656250000000e+03
1.237188208616780000e-01,1.765722656250000000e+03
1.265306122448979775e-01,1.808789062500000000e+03
1.293424036281179135e-01,1.808789062500000000e+03
1.321541950113378772e-01,8.613281250000000000e+01
1.349659863945578409e-01,8.613281250000000000e+01
1.377777777777777768e-01,8.613281250000000000e+01
1.405895691609977405e-01,1.722656250000000000e+02
1.434013605442177042e-01,1.722656250000000000e+02
